"CD_GEOCODD","perc_ppt_house","perc_ppt_apartment","perc_ppt_rented","perc_ppt_water","perc_ppt_swage","perc_ppt_trash","perc_ppt_electricity","perc_ppt_people_1_2","perc_ppt_people_3_4","perc_ppt_people_5_p","perc_ppt_income_0_1","perc_ppt_income_1_5","perc_ppt_income_5_10","perc_ppt_income_10_p","perc_res_14_p","perc_res_14_p_literate"
"355030801",0.7112,0.2616,0.2793,0.9995,0.9961,0.9998,0.9997,0.4197,0.4577,0.1226,0.2824,0.5713,0.1099,0.0367,0.8625,0.9854
"355030802",0.4601,0.5247,0.1833,0.9995,0.9975,0.9999,1,0.4857,0.4104,0.1039,0.1144,0.3273,0.2694,0.2891,0.8891,0.9941
"355030803",0.9846,4e-04,0.242,0.9734,0.8798,0.9885,0.9986,0.2862,0.5241,0.1889,0.5668,0.4236,0.0092,0.0015,0.7604,0.9556
"355030804",0.9071,0.0866,0.2203,0.9984,0.9808,0.9999,0.9999,0.3484,0.4779,0.1737,0.4253,0.531,0.0379,0.0065,0.8244,0.9738
"355030805",0.6274,0.361,0.203,0.9993,0.9587,0.9988,0.9998,0.3735,0.4729,0.1537,0.3939,0.5815,0.0226,0.0023,0.8226,0.9776
"355030806",0.1302,0.7823,0.2719,0.968,0.9497,0.9934,0.9957,0.5709,0.3491,0.0759,0.1476,0.4336,0.2588,0.1572,0.8806,0.9795
"355030807",0.0599,0.919,0.4057,0.9915,0.9978,0.9999,1,0.6708,0.275,0.0542,0.1388,0.4665,0.2404,0.1556,0.9312,0.987
"355030808",0.4054,0.5103,0.3336,0.9988,0.9798,0.9992,0.9997,0.4394,0.4195,0.1412,0.2519,0.5803,0.1317,0.0383,0.8862,0.9806
"355030809",0.2589,0.6382,0.4552,0.9663,0.948,0.9998,0.9994,0.4433,0.3912,0.1654,0.3959,0.5283,0.0776,0.0167,0.86,0.9727
"355030810",0.1459,0.6942,0.5079,0.9998,0.9967,0.9998,1,0.4883,0.3787,0.1329,0.304,0.6098,0.0712,0.0182,0.8456,0.9764
"355030811",0.9299,0.0593,0.224,0.9866,0.8732,0.9898,0.9996,0.3055,0.4774,0.217,0.6066,0.3807,0.0109,0.002,0.7638,0.953
"355030812",0.5858,0.3716,0.2113,0.9994,0.9911,0.9999,0.9998,0.4604,0.4302,0.1094,0.1622,0.5103,0.2236,0.1046,0.9027,0.9902
"355030813",0.7613,0.1834,0.24,0.9939,0.906,0.9982,0.9996,0.3224,0.4802,0.1972,0.4845,0.4766,0.0328,0.0063,0.7848,0.961
"355030814",0.3763,0.5571,0.3222,0.9977,0.9894,0.9983,0.9998,0.4853,0.4004,0.1143,0.2131,0.5657,0.1653,0.0743,0.8833,0.9791
"355030815",0.4399,0.5262,0.182,0.9976,0.9792,0.9998,0.9999,0.5004,0.4065,0.0931,0.1664,0.3663,0.2512,0.2163,0.8732,0.9899
"355030816",0.5276,0.4394,0.1931,0.9961,0.9496,0.9996,0.9997,0.3968,0.4861,0.1169,0.2195,0.5401,0.1711,0.0695,0.8358,0.9869
"355030817",0.768,0.1983,0.2325,0.9953,0.8993,0.9964,0.9995,0.3248,0.4915,0.1836,0.4833,0.473,0.0367,0.0077,0.7822,0.9639
"355030818",0.8034,0.1784,0.2266,0.9955,0.911,0.9987,0.999,0.3304,0.4823,0.1865,0.4777,0.4897,0.0283,0.0039,0.8089,0.9703
"355030819",0.8543,0.1162,0.2257,0.997,0.8725,0.9989,0.9996,0.3181,0.4943,0.1876,0.5715,0.4143,0.013,0.0016,0.7734,0.9554
"355030820",0.7194,0.261,0.2498,0.9996,0.9863,0.9999,0.9998,0.3941,0.4664,0.1395,0.2895,0.585,0.1001,0.0257,0.856,0.9828
"355030821",0.7313,0.2217,0.3309,0.9993,0.9801,0.9995,0.9997,0.3774,0.4588,0.1638,0.3332,0.5475,0.093,0.0276,0.8382,0.982
"355030822",0.8527,0.0838,0.2658,0.9976,0.8826,0.9942,0.9996,0.334,0.4789,0.1871,0.5457,0.418,0.0293,0.0072,0.7904,0.9537
"355030823",0.89,0.097,0.1995,0.9979,0.9344,0.9954,0.9997,0.3049,0.4932,0.2019,0.4847,0.4826,0.0285,0.0045,0.796,0.9628
"355030824",0.8974,0.0751,0.2086,0.9978,0.8994,0.9994,0.9996,0.3016,0.5063,0.1921,0.4675,0.5061,0.0237,0.0035,0.7972,0.9736
"355030825",0.4721,0.5184,0.0906,0.9947,0.9188,0.9966,0.9992,0.2951,0.4815,0.2232,0.6721,0.3245,0.0034,3e-04,0.7429,0.9594
"355030826",0.0474,0.9467,0.3501,0.9997,0.9984,0.9998,0.9999,0.6906,0.2587,0.0508,0.1172,0.3851,0.2737,0.2241,0.9212,0.9947
"355030827",0.643,0.3161,0.2655,0.9994,0.9759,0.9989,0.9999,0.4005,0.4562,0.1433,0.2851,0.5217,0.137,0.057,0.8472,0.9787
"355030828",0.9058,0.071,0.248,0.9989,0.9181,0.9997,0.9997,0.3132,0.4964,0.1905,0.5078,0.4698,0.0208,0.002,0.7923,0.9656
"355030829",0.7969,0.1897,0.2614,0.9996,0.9809,0.9997,0.9997,0.366,0.4781,0.156,0.3422,0.5801,0.0659,0.0121,0.8319,0.977
"355030830",0.9559,0.0255,0.2048,0.9734,0.7272,0.9954,0.9984,0.2814,0.4928,0.2252,0.6382,0.356,0.0048,6e-04,0.7575,0.946
"355030831",0.8404,0.1329,0.1968,0.9865,0.8737,0.9911,0.9989,0.3086,0.4821,0.2093,0.6134,0.3723,0.0095,0.0053,0.7672,0.9591
"355030832",0.1092,0.8873,0.2451,0.9996,0.9975,0.9998,0.9999,0.6043,0.3355,0.0601,0.1013,0.2368,0.2908,0.3712,0.8862,0.9961
"355030833",0.9208,0.0673,0.1576,0.977,0.8451,0.993,0.9988,0.2662,0.5057,0.2281,0.6749,0.321,0.0036,6e-04,0.7559,0.9462
"355030834",0.5287,0.4468,0.2858,0.9977,0.9832,0.9997,0.9994,0.44,0.4407,0.1191,0.2731,0.5239,0.1443,0.0594,0.8516,0.9808
"355030835",0.2259,0.7613,0.2492,0.9995,0.9963,0.9996,0.9999,0.6227,0.3234,0.0538,0.1289,0.2952,0.2701,0.3062,0.8973,0.9942
"355030836",0.8244,0.1621,0.1627,0.9972,0.9126,0.9988,0.9991,0.2858,0.4928,0.2214,0.6692,0.3252,0.0052,6e-04,0.7661,0.9528
"355030837",0.8292,0.1502,0.1848,0.9975,0.9142,0.9983,0.9994,0.307,0.4886,0.2043,0.5126,0.4646,0.021,0.0021,0.7878,0.9685
"355030838",0.6811,0.2871,0.2695,0.9895,0.9164,0.9991,0.9997,0.4097,0.4403,0.15,0.342,0.4952,0.1186,0.0448,0.8242,0.971
"355030839",0.8459,0.1373,0.2339,0.9882,0.903,0.9987,0.9999,0.3284,0.458,0.2136,0.4796,0.4769,0.0362,0.0081,0.8049,0.9595
