"CD_GEOCODD","avg_age_months","offrepairs_rate","ongrepairs_rate","ongarea_rate","ongeletric_rate","onghidraulic_rate","onggas_rate"
"355030801",13.3489312536106,0.4575,0.2249,0.193,0.1754,0.4942,0.0263
"355030802",17.4212812160695,0.4632,0.2346,0.178,0.1571,0.4503,0.0209
"355030803",4.537,0.6667,0.4231,0.0909,0.0455,0.7727,0
"355030804",12.3947368421053,0.4938,0.1858,0.1443,0.1546,0.4948,0.0412
"355030805",11.1880920162382,0.452,0.2357,0.2632,0.2039,0.4276,0.0197
"355030806",16.3052870949403,0.4826,0.2419,0.1703,0.1264,0.4725,0.0165
"355030807",14.1042830540037,0.49,0.2569,0.1261,0.1944,0.4338,0.0331
"355030808",13.6706642066421,0.5079,0.2135,0.1902,0.1659,0.4146,0.0293
"355030809",13.6332931242461,0.4952,0.2734,0.199,0.1173,0.4541,0.0255
"355030810",11.5611787315823,0.5134,0.1334,0.1864,0.1864,0.4237,0.0395
"355030811",7.16049382716049,0.4167,0.3421,0.2692,0.1154,0.5385,0
"355030812",14.4908155767818,0.5261,0.1761,0.1887,0.1792,0.4906,0.0142
"355030813",11.3333333333333,0.42,0.2678,0.1243,0.1538,0.5444,0.0296
"355030814",13.8243320068221,0.4059,0.2041,0.1721,0.1526,0.4643,0.0227
"355030815",16.2292970187707,0.4606,0.2319,0.1966,0.1311,0.4607,0.0412
"355030816",13.628701594533,0.4236,0.2249,0.1985,0.1641,0.4237,0.0344
"355030817",10.2063953488372,0.52,0.1918,0.3248,0.1197,0.3846,0.0256
"355030818",11.5257731958763,0.4657,0.2989,0.1853,0.1917,0.5048,0
"355030819",5.39393939393939,1,0.2727,0.2222,0.3333,0.4444,0
"355030820",14.1569400630915,0.4565,0.2308,0.1875,0.1562,0.5039,0.0273
"355030821",14.3039879608728,0.4367,0.2721,0.2229,0.1879,0.5,0.0127
"355030822",12.7217194570136,0.4686,0.2224,0.1579,0.1754,0.4912,0.0175
"355030823",9.71900826446281,0.6897,0.1743,0.1579,0.2632,0.5789,0
"355030824",8.17636022514071,0.5165,0.2331,0.2719,0.1491,0.5088,0.0175
"355030825",6.8077,0.7698,0.2146,0.2133,0.0705,0.5092,0.0256
"355030826",14.661342717921,0.4867,0.2073,0.15,0.1167,0.4758,0.0348
"355030827",14.9076530612245,0.4412,0.3109,0.2086,0.1136,0.4916,0.0372
"355030828",13.0739750445633,0.3718,0.3247,0.2338,0.2338,0.4585,0.0031
"355030829",13.0498141263941,0.458,0.2246,0.1754,0.1791,0.5037,0.0149
"355030830",8.2762,0.5948,0.2235,0.079,0.2982,0.6228,0
"355030831",5.29166666666667,1,0.1556,0.2857,0,0.4286,0
"355030832",16.1306715063521,0.4893,0.2519,0.1306,0.1236,0.425,0.0333
"355030833",6.3695,0.641,0.4064,0.2282,0.0943,0.5434,0.0451
"355030834",14.0606924643585,0.5035,0.2344,0.1472,0.1653,0.5161,0.0302
"355030835",16.029180887372,0.4468,0.2248,0.1387,0.1291,0.4074,0.0509
"355030836",5.9955,0.3182,0.316,0.0833,0.1528,0.1945,0.0278
"355030837",11.1308858739026,0.4828,0.2857,0.2166,0.1688,0.4522,0.0096
"355030838",14.7708985786557,0.459,0.235,0.187,0.1621,0.4757,0.0355
"355030839",12.7644539614561,0.4206,0.2518,0.0971,0.2233,0.5825,0.0097
"355030840",11.1369863013699,0.7,0.2154,0.1429,0.2857,0.5714,0
"355030841",15.1381278538813,0.4623,0.2853,0.2269,0.1528,0.4537,0.037
"355030842",4.53703703703704,0.6667,0.4231,0.0909,0.0455,0.7727,0
"355030843",7.7059,0.7458,0.2225,0.212,0.2453,0.5116,0
"355030844",5.8,0.5574,0.3269,0.1771,0.2153,0.5382,0.0278
"355030845",16.0034098658786,0.4783,0.2179,0.1649,0.1246,0.4638,0.0249
"355030846",8.0046511627907,0.5476,0.2205,0.2558,0.1395,0.5116,0
"355030847",8.32380952380952,0.5397,0.2737,0.141,0.141,0.5897,0.0513
